catalogNumber	scale-on-image	length	units	notes							
CASTYPE1652	1.5 mm	1.809	mm	tegula partially obscured							
CASTYPE1659	1.5 mm	1.913	mm	tegula partially obscured							
CASTYPE265	1.5 mm	2.465	mm								
CASTYPE4199	1.5 mm	2.282	mm								
CASTYPE4201	1.5 mm	1.773	mm								
CASTYPE6629	1.0 mm	1.913	mm								
CASTYPE2387	1.0 mm	1.701	mm								
CASTYPE14904				no images							
CASTYPE14905				no images							
CASTYPE15416				no images							
CASTYPE931				no images							
CASTYPE933				no images							
CASTYPE934				no images							
CASTYPE935				no images							
CASTYPE11396	1 mm	2.525	mm								
CASTYPE13124	1 mm	1.109	mm								
CASTYPE13125	1 mm	1.004	mm								
CASTYPE13126	1 mm	1.121	mm								
CASTYPE13523	1 mm	3.67	mm								
CASTYPE14558	1 mm	1.071	mm								
CASTYPE14697	1 mm	0.733	mm								
CASTYPE14883	1 mm	1.972	mm								
CASTYPE14885	1 mm	1.664	mm								
CASTYPE14886	1 mm	1.718	mm								
CASTYPE14887	1 mm	1.71	mm								
CASTYPE14888	1 mm	1.735	mm								
CASTYPE14889	1 mm	1.934	mm								
CASTYPE14890	1 mm	1.648	mm								
CASTYPE14891	1 mm	1.551	mm								
CASTYPE14892	1 mm	1.493	mm								
CASTYPE14893	1 mm	1.583	mm								
CASTYPE14896	1 mm	1.589	mm								
CASTYPE14897	1 mm	1.862	mm								
CASTYPE14898	1 mm	1.833	mm								
CASTYPE14899	1 mm	1.85	mm								
CASTYPE14900	1 mm	1.681	mm								
CASTYPE14902	1 mm	1.511	mm								
CASTYPE15373	1 mm	2.779	mm								
CASTYPE15559	1 mm	1.804	mm								
CASTYPE15560	1 mm	1.537	mm								
CASTYPE15561	1 mm	2.174	mm								
CASTYPE15562	1 mm	1.736	mm								
CASTYPE1503	1.5 mm	1.427	mm								
CASTYPE1504	1.5 mm	1.736	mm								
CASTYPE1509	1.5 mm	1.715	mm								
CASTYPE1545	1.5 mm	1.033	mm								
CASTYPE1546	1.5 mm	0.779	mm								
CASTYPE1547	1.5 mm	1.479	mm								
CASTYPE1650	1.5 mm	1.483	mm								
CASTYPE14806	2 mm	4.038	mm								
CASTYPE14807	2 mm	4.361	mm								
CASTYPE14901	2 mm	2.853	mm								
CASTYPE1502	2 mm	0.838	mm								
CASTYPE15189	5 mm	7.316	mm								
CASTYPE15474	5 mm	4.708	mm								
CASTYPE15485	5 mm	3.632	mm								
CASTYPE15463				no scale							
CASTYPE1564				no scale							
CASTYPE15644				no scale							
CASTYPE1565				no scale							
CASTYPE15677				no scale							
CASTYPE2462				no scale							
CASTYPE6628				no scale							
CASTYPE8760				no scale							
CASTYPE8763				no scale							
CASTYPE8765				no scale							
CASTYPE8766				no scale							
CASTYPE1658				not a bee							
CASTYPE262				not a bee							
CASTYPE263				not a bee							
CASTYPE264				not a bee							
CASTYPE266				not a bee							
CASTYPE267				not a bee							
CASTYPE932				not a bee							
CASTYPE955				not a bee							
CASTYPE1506				no scale							
CASTYPE1651	1.5mm	1.059	mm	tegula hidden by pin							
CASTYPE1660	1.5mm	1.116	mm								
CASTYPE2461	1.5mm	1.778	mm								
CASTYPE4200	1.5mm	1.071	mm								
CASTYPE4202	1.5mm	2.134	mm	tegula obscured by pin							
CASTYPE4272	1.5mm	2.677	mm								
CASTYPE9540				no scale							
